print,initial_layer_threshold
0,-1
1,278
2,-1
3,280
4,12
5,260
6,231
7,0
8,0
9,359
10,300
11,289
12,345
13,454
14,-1
15,280
16,626
17,0
18,280
19,0
20,534
21,0
22,350
23,0
24,790
25,105
26,0
27,209
28,350
29,397
30,404
31,733
32,533
33,-1
34,895
35,0
36,700
37,339
38,70
39,-1
40,785
41,0
42,0
43,0
44,175
45,327
46,681
47,600
48,150
49,521
50,342
51,140
52,272
53,0
54,557
55,-1
56,0
57,734
58,205
59,0
60,247
61,235
62,212
63,140
64,0
65,-1
66,0
67,50
68,-1
69,67
70,400
71,345
72,630
73,0
74,0
75,393
76,0
77,160
78,0
79,190
80,290
81,511
82,475
83,250
84,230
85,607
86,140
87,293
88,-1
89,0
90,256
91,633
92,140
93,225
94,123
95,597
96,539
97,306
98,1091
99,534
100,0
101,-1
102,0
103,334
104,0
105,687
106,-1
107,352
108,0
109,219
110,607
111,540
112,150
113,0
114,197
115,460
116,18
117,0
118,0
119,533
120,0
121,90
122,165
123,456
124,0
125,0
126,230
127,539
128,0
129,267
130,-1
131,666
132,-1
133,660
134,0
135,-1
136,0
137,310
138,736
139,130
140,136
141,76
142,0
143,338
144,693
145,450
146,533
147,0
148,144
149,250
150,398
151,0
152,382
153,222
154,0
155,710
156,350
157,464
158,0
159,706
160,252
161,55
162,541
163,150
164,229
165,196
166,0
167,220
168,802
169,-1
170,0
171,957
172,50
173,302
174,302
175,496
176,0
177,-1
178,86
179,224
180,675
181,-1
182,236
183,181
184,0
185,120
186,45
187,-1
188,-1
189,32
190,-1
191,1961
